Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,,
C1,100n,C_0402_1005Metric,52.347,-40.64,0,bottom,,,
C2,100n,C_0402_1005Metric,48.2116,-44.831,0,bottom,,,
C3,10n,C_0402_1005Metric,52.832,-50.777,90,bottom,,,
C4,1u,C_0402_1005Metric,51.7906,-50.777,90,bottom,,,
C5,100n,C_0402_1005Metric,64.5414,-39.7486,90,bottom,,,
C6,100n,C_0402_1005Metric,50.7492,-50.7746,90,bottom,,,
C7,4u7,C_0402_1005Metric,48.237,-45.847,0,bottom,,,
C8,4u7,C_0402_1005Metric,52.324,-39.37,0,bottom,,,
C9,4n7,C_0402_1005Metric,53.871,-31.496,180,bottom,,,
C10,100n,C_0402_1005Metric,52.2732,-33.1978,270,bottom,,,
C11,100n,C_0402_1005Metric,64.4906,-50.8,270,bottom,,,
C12,100n,C_0402_1005Metric,52.855,-58.42,0,bottom,,,
C13,100u,C_0402_1005Metric,53.3938,-64.262,0,bottom,,53.871,-62.1538
C14,22p,C_0402_1005Metric,63.0174,-55.2704,90,bottom,,,
C15,22p,C_0402_1005Metric,56.919,-55.372,270,bottom,,,
CUSB1,100n,C_0402_1005Metric,56.9722,-35.71,90,bottom,,,
D1,D_Schottky,D_SOD-123,48.1076,-33.9598,180,bottom,,,
D2,D_TVS,D_SOD-123,48.2854,-41.3756,270,bottom,,,
D3,1N4148W,D_SOD-123,50.546,-61.596,90,bottom,,,
D4,1N4148W,D_SOD-123,89.662,-29.718,270,bottom,,,
D5,1N4148W,D_SOD-123,92.456,-29.718,270,bottom,,,
D6,1N4148W,D_SOD-123,127.762,-27.178,270,bottom,,,
D7,1N4148W,D_SOD-123,130.556,-27.178,270,bottom,,,
D8,1N4148W,D_SOD-123,165.862,-31.242,270,bottom,,,
D9,1N4148W,D_SOD-123,168.402,-31.242,270,bottom,,,
D10,1N4148W,D_SOD-123,89.75625,-49.022,270,bottom,,,
D11,1N4148W,D_SOD-123,92.456,-49.022,270,bottom,,,
D12,1N4148W,D_SOD-123,127.762,-45.72,270,bottom,,,
D13,1N4148W,D_SOD-123,130.302,-45.72,270,bottom,,,
D14,1N4148W,D_SOD-123,165.862,-51.816,270,bottom,,,
D15,1N4148W,D_SOD-123,168.656,-51.816,270,bottom,,,
D16,1N4148W,D_SOD-123,89.408,-67.564,270,bottom,,,
D17,1N4148W,D_SOD-123,92.202,-67.564,270,bottom,,,
D18,1N4148W,D_SOD-123,128.016,-65.024,270,bottom,,,
D19,1N4148W,D_SOD-123,130.556,-65.024,270,bottom,,,
D20,1N4148W,D_SOD-123,165.95625,-71.12,270,bottom,,,
D21,1N4148W,D_SOD-123,168.656,-71.12,270,bottom,,,
D22,1N4148W,D_SOD-123,89.662,-87.122,270,bottom,,,
D23,1N4148W,D_SOD-123,92.456,-87.122,270,bottom,,,
D24,1N4148W,D_SOD-123,127.762,-84.074,270,bottom,,,
D25,1N4148W,D_SOD-123,130.81,-84.074,270,bottom,,,
D26,1N4148W,D_SOD-123,165.481,-90.17,270,bottom,,,
D27,1N4148W,D_SOD-123,168.402,-90.17,270,bottom,,,
D28,1N4148W,D_SOD-123,66.04,-86.868,270,bottom,,,
D29,1N4148W,D_SOD-123,68.834,-108.458,270,bottom,,,
D30,1N4148W,D_SOD-123,71.882,-108.458,270,bottom,,,
D31,1N4148W,D_SOD-123,116.332,-105.664,270,bottom,,,
D32,1N4148W,D_SOD-123,119.126,-105.664,270,bottom,,,
D33,1N4148W,D_SOD-123,157.226,-107.696,270,bottom,,,
F1,Polyfuse_Small,Fuse_0805_2012Metric,55.9585,-33.782,0,bottom,,,
Q1,DTC123J,SOT-416,51.054,-56.388,0,bottom,,,
R1,5k1,R_0402_1005Metric,62.8118,-32.7406,180,bottom,,,
R2,5k1,R_0402_1005Metric,53.825,-28.956,0,bottom,,,
R3,1M,R_0402_1005Metric,53.848,-30.226,0,bottom,,,
R4,33k,R_0402_1005Metric,53.871,-59.7916,180,bottom,,,
R5,100k,R_1206_3216Metric,53.871,-62.1538,0,bottom,,53.3938,-64.262
R6,4k7,R_0402_1005Metric,64.4144,-65.4304,180,bottom,,,
R7,4k7,R_0402_1005Metric,62.461,-65.4304,0,bottom,,,
U1,USBLC6-2SC6,SOT-23-6,60.64,-35.644,90,bottom,,,
U2,STM32F411RCTx,LQFP-64_10x10mm_P0.5mm,58.674,-45.466,90,bottom,,,
U4,MCP1700-3302E_SOT23,SOT-23,48.1678,-37.0484,0,bottom,,,
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,60.114,-55.206,180,bottom,,,
U3,25LCxxx,SOIC-8_3.9x4.9mm_P1.27mm,58.485,-46.101,180,top,,,
